left,right,distance,size
4.000000000000000000e+01,2.200000000000000000e+02,1.087872450000000057e+01,3.000000000000000000e+00
1.150000000000000000e+02,1.420000000000000000e+02,1.089416399999999996e+01,2.000000000000000000e+00
4.800000000000000000e+01,1.040000000000000000e+02,1.109874499999999919e+01,2.000000000000000000e+00
1.360000000000000000e+02,2.270000000000000000e+02,1.109876374666666621e+01,7.600000000000000000e+01
1.210000000000000000e+02,2.310000000000000000e+02,1.148127606578947457e+01,7.700000000000000000e+01
1.140000000000000000e+02,1.310000000000000000e+02,1.167583300000000079e+01,2.000000000000000000e+00
2.260000000000000000e+02,2.290000000000000000e+02,1.184023775000000001e+01,4.000000000000000000e+00
2.280000000000000000e+02,2.320000000000000000e+02,1.201090941991341765e+01,8.000000000000000000e+01
9.900000000000000000e+01,1.270000000000000000e+02,1.220375600000000027e+01,2.000000000000000000e+00
2.330000000000000000e+02,2.350000000000000000e+02,1.233544468124999938e+01,8.200000000000000000e+01
3.900000000000000000e+01,4.600000000000000000e+01,1.259422200000000025e+01,2.000000000000000000e+00
2.340000000000000000e+02,2.370000000000000000e+02,1.261386222256097511e+01,8.600000000000000000e+01
2.300000000000000000e+02,2.390000000000000000e+02,1.269604831395349009e+01,8.800000000000000000e+01
1.050000000000000000e+02,2.400000000000000000e+02,1.311159443181818318e+01,8.900000000000000000e+01
7.400000000000000000e+01,1.170000000000000000e+02,1.319154600000000066e+01,2.000000000000000000e+00
3.100000000000000000e+01,2.410000000000000000e+02,1.319840806741572869e+01,9.000000000000000000e+01
2.360000000000000000e+02,2.430000000000000000e+02,1.384324525555555674e+01,9.200000000000000000e+01
9.400000000000000000e+01,2.440000000000000000e+02,1.437427031521739096e+01,9.300000000000000000e+01
1.370000000000000000e+02,2.380000000000000000e+02,1.549492550000000080e+01,3.000000000000000000e+00
2.420000000000000000e+02,2.450000000000000000e+02,1.616674124731182260e+01,9.500000000000000000e+01
4.400000000000000000e+01,1.200000000000000000e+02,1.718238699999999852e+01,2.000000000000000000e+00
2.900000000000000000e+01,3.000000000000000000e+01,1.802653799999999862e+01,2.000000000000000000e+00
6.400000000000000000e+01,2.470000000000000000e+02,1.848851432631578717e+01,9.600000000000000000e+01
2.300000000000000000e+01,2.480000000000000000e+02,1.909753200000000106e+01,3.000000000000000000e+00
3.200000000000000000e+01,2.500000000000000000e+02,1.935849052083333177e+01,9.700000000000000000e+01
1.300000000000000000e+01,1.280000000000000000e+02,2.358895800000000165e+01,2.000000000000000000e+00
